status_id,status_message,status_published
457376154351363_946147778807529,"Can someone please advise me as to why if I have been a regular customer with M & S home insurance for the past 4 years, it is cheaper to get it online. When I contacted them I was told if I want that deal, I need to cancel my policy and re apply for the same (like for like) and then I can get that discounted rate... I can appreciate this is an online deal, but is this how you should be treating your loyal customers....",2015-12-16 16:32:15
457376154351363_946035905485383,I would like to thank your car insurance section for the cost of my car insurance last year after NO claim and 10% discount it has DOUBLED. I know before you make all the excuses in the world I would just like to say BYE BYE and welcome to RIP OFF BRITAIN.,2015-12-16 11:20:04
457376154351363_945632412192399,"@mandsbank - I'm an existing customer on a 'special' policy. I've called to change address and remove buildings as I'm moving into a rental property.You've told me I can't do this and need to take a new policy out. I also can't cancel this policy as the 2nd named person is no longer available as you need to speak to her for dpa reasons - not true! When I asked if you would still need to speak to her if she'd left me you said yes !! How would that work?

To top it off the price online without buildings cover is £200 more than I'm paying now ! 

Really shocking customer experience - awaiting callback but here's hoping for some common sense

Let's see - to be continued",2015-12-15 14:43:27
457376154351363_945555045533469,"Hi M & S, a few weeks' ago I purchased a child's                              lace top on line. However I tried to use a £10 premium Club voucher together with a reward voucher for £4 on line to purchase this and it wasn't having it! I got in touch with M & S and a very nice lady did it for me.  However it did not enable me to use the £4 reward together with the £10 PC voucher and so this £4 appears on my credit card statement! When I tried to use the £4 voucher in store at Redhill the assistant said THAT IT HAD ALREADY BEEN USED and proceeded to tear it up!!  I EXPLAINED TO HER THAT IT HAD NOT BEEN USED.  The bar code number is 2340112151398 and the expiry date is 30/11/2016!! Can you please thrown any light on this!!",2015-12-15 13:08:44
457376154351363_945347842220856,,2015-12-15 04:45:07
457376154351363_945331678889139,"Please contact me to discuss the below:

On 5th December I was given Czech currency instead of the Danish currency I requested and paid for, at your Cambridge store, ten days ago. 

As an M&S card holder I was contacted the next day by your Chester office, acknowledging the mistake. 

Subsequently visiting a store to rectify this, as advised, I experienced awful service and would like to discuss this with a representative of yours as soon as possible",2015-12-15 03:39:50
457376154351363_945127712242869,"I've been holding on for more than 40 minutes for a manager from M&S Money in a remote call centre in Manilla to explain why the £22.00 in reward vouchers which cost me £2,200 to earn cannot be honoured when they are just 12 day out of date.  The operator has advised she cannot contact anyone in Chester (all gone home?).  The Manager, Cherie Norval did not have the courtesy to explain the position and put me back on to an Advisor. This frustrating episode follows a previous call to an Advisor, Jan Almacen who told me 'I had long enough to spend the vouchers' which I was saving to pay for Christmas for my family but displaced them. M&S store manager was helpful and sympathtic but told me the bank was nothing to do with retail - not what they told me when they were pushing a credit card in my face at the til!  Can't believe M&S would treat their custmers this way?",2015-12-14 16:45:09
457376154351363_945104018911905,Whats happened to the pass the parcel competition?? myself and a couple of friends have been unable to play the last couple of days as it just takes it just takes us to the shopping website.,2015-12-14 15:15:16
457376154351363_944314458990861,Is there a time limited to activate a credit card? Trying to activate a new one and account says there isn't one.  Thanks,2015-12-13 03:45:28
457376154351363_943460862409554,"For our final prize, we're giving away a giant cuddly polar bear to three lucky winners! For a chance to win the star of the M&S advert, tell us how you spend Christmas Eve. T&Cs apply: http://bddy.me/1XxF9nT",2015-12-12 06:00:00
457376154351363_943871549035152,"What is the point of a bank when you have to go to HSBC to withdraw cash over a certain amount then to be told you have to get permission off M and S bank before they will let you get said money. I then went to M and S bank to close the account only to be told I had to phone up because they were doing staff training, on a Saturday morning two weeks before Christmas in the metro centre GOOD TIMING M and S. Then when I get home and try to find the phone number on their website I find that is useless also. BIG MASSIVE FAIL M and S Bank",2015-12-12 05:11:19
457376154351363_943628182392822,"Hello when trying to access my CC account using my laptop getting a 'portal is temporarily disabled' message but can access from my daughter's laptop ... any ideas? Help would be much appreciated, thanks!",2015-12-11 15:10:48
457376154351363_942056062550034,"To enter today's glamorous competition, tell us which celebrity you'd invite to Christmas dinner. T&Cs apply: http://bddy.me/1XxF9nT",2015-12-11 06:00:00
457376154351363_942055655883408,"Fancy curling up on the sofa with our cosy cushions? For a chance to win two of them, comment below with your favourite Christmas movie. T&Cs apply: http://bddy.me/1XxF9nT",2015-12-10 06:00:00
457376154351363_942055192550121,"We're giving away a candelabra from M&S, just in time for Christmas! To enter our giveaway, tell us what your Christmas  table centrepiece will be. T&Cs apply: http://bddy.me/1XxF9nT",2015-12-09 06:00:00
457376154351363_941531842602456,"Which beauty product can always be found in your handbag come Christmas? Let us know and you could win today's stylish prize, straight out of the M&S Christmas advert! T&Cs apply: http://bddy.me/1XxF9nT",2015-12-08 06:00:01
457376154351363_941472829275024,"MERRY CHRISTMAS EVERYBODY
BY SLADE AWESOME XXX",2015-12-07 06:23:32
457376154351363_939050492850591,We want to hear your favourite Christmas songs! Comment below for a chance to win this beanie hat for him. T&Cs apply: http://bddy.me/1XxF9nT,2015-12-07 06:00:00
457376154351363_939049406184033,"Time to sparkle! Tell us your go-to outfit for a Christmas party, and you'll be in with a chance of winning this necklace. T&Cs apply: http://bddy.me/1XxF9nT",2015-12-06 06:00:00
457376154351363_939044072851233,"Today's prize will bring a festive touch to your home this Christmas. To be in with a chance of winning two tealight holders, tell us what's on your wishlist. T&Cs apply: http://bddy.me/1XxF9nT",2015-12-05 06:00:00
457376154351363_940177092737931,Received my prize today that I won on the 1st day of Christmas and I have to say Wow....I was not disappointed 😃. Thank you very much and it will take pride at my Christmas festivities for years to come. So chuffed with my prize 😃😃,2015-12-04 16:01:49
457376154351363_939037776185196,"Want to win an M&S scarf? For a chance to get your hands on the prize, simply give us your best decorating tip for Christmas. T&Cs apply: http://bddy.me/1XxF9nT",2015-12-04 06:00:00
457376154351363_939031486185825,"We're here to wrap up Christmas with a snuggly giveaway. To enter, tell us your tip for a cosy Christmas. T&Cs apply: http://bddy.me/1XxF9nT",2015-12-03 06:00:00
457376154351363_938911309531176,"Today's prize is the perfect gift for him. For a chance to win, answer this question: what Christmas activity do you do every year? T&Cs apply: http://bddy.me/1XxF9nT",2015-12-02 06:00:08
457376154351363_938887676200206,,2015-12-02 04:36:17
457376154351363_938458802909760,"From now until 12 December, we're giving you the chance to win Christmas gifts from M&S. To enter today's giveaway, tell us your favourite Christmas memory in a comment below. T&Cs apply: http://bddy.me/1MTmL0E",2015-12-01 06:00:09
457376154351363_543941659096685,JOIN US!,2015-11-30 04:54:39
457376154351363_937586766330297,Avoid buying pricey fresh herbs by growing a selection in the kitchen.,2015-11-29 07:00:08
457376154351363_937382733017367,Perhaps someone from M&S Bank could explain the logic as to why the M&S Credit Card Christmas prize draw (win back your festive shopping costs) is not valid for Northern Ireland?,2015-11-28 16:29:09
457376154351363_936908196398154,I like to thank you and especially Alex who rang me. Excellent service and so friendly. Many thanks for your help. Kind regards Steve,2015-11-27 16:12:09
457376154351363_936903273065313,💕💐🌷🌺,2015-11-27 15:53:19
457376154351363_936903033065337,Best store so far,2015-11-27 15:52:44
457376154351363_936629709759336,We're thrilled to give you an exclusive sneak-peek of our Christmas advert. Spot us on TV from next week!,2015-11-27 07:56:55
457376154351363_936125946476379,You don't need to redecorate to update your seasonal style. Try introducing warm colours through soft furnishings.,2015-11-26 06:30:07
457376154351363_936075386481435,"We are a group of concerned citizens interested in promoting banking transparency.

In light of the Cooperative Bank's recent proper actions for due diligence to prevent possible illegal or proscribed activities from some of its accounts, we applaud their example and demand from all of the UK banking community, as their customers, the same high standards across the board.

We call upon all like-minded people to support us in ensuring these standards and transparency for the benefit of everyone.

Join us in the struggle for a transparent, fair, and just banking community!
Join us today and to help",2015-11-26 03:43:45
457376154351363_935239856564988,How to call your 0800 number from abroad?,2015-11-24 06:01:49
457376154351363_934953633260277,"Worse service received,awaiting solution to get into paying my bill. So far all the call centre staff can come up is to send out replacement cards to me, is that all they have been trained to say. 45 mins on the phone to yourselves,a total waste of time.your company is a farce",2015-11-23 16:55:39
457376154351363_933431583412482,"Sorry to see M&S advertising pet insurance with a girl and ""handbag dog"".  There is a serious rate of abandonment and crule treatment of these dogs; sometimes the owners do not appreciate they are acquiring a living creature who needs care rather than a toy.  Handbag dog style purchases also encourages back street breeding and puppy farms, and all the problems which go with them .  Please do not use this advertising.  Please see the FB page ""fight against puppy farm starts here"", among others, if you need information.",2015-11-20 17:08:05
457376154351363_933412826747691,IF I'm Lucky enough🍀It will be For CHRISTMAS present's For My Family x friends🍀🎄🎅🎄🎅,2015-11-20 16:00:16
457376154351363_933239190098388,WHEN ALL MY 4 CHILDREN ARE WITH ME THAT'S WHEN IT FEEL'S LIKE HOME 💖💗💖💙💖💗,2015-11-20 09:01:08
457376154351363_933164796772494,"For a chance to win a £100 M&S gift card, simply answer the question below. T&Cs apply: http://on.fb.me/1Yk2BCa",2015-11-20 06:06:37
457376154351363_933160970106210,M&S Bank £100 M&S gift card giveaway – Full terms and conditions,2015-11-20 06:02:52
457376154351363_932304260191881,Hi. I applied for a personal loan last week and the following day I received an email to confirm that my loan has been accepted and credit agreement documents will be sent through the post. I signed the papers and returned them yesterday - via Royal Mail guaranteed special next day delivery. Therefore you should receive my signed credit agreement today. Please can you confirm how long it will take to release the funds (after receiving signed agreement of course!)?,2015-11-18 04:30:24
457376154351363_931976180224689,"Hi, I purchased pet insurance this morning but have not received an email with the details. I need this for my breeder in order to collect my pet",2015-11-17 10:22:13
457376154351363_930522347036739,Skip the salon and try an at-home manicure instead. Here's how to make your polish last longer:,2015-11-14 05:30:08
457376154351363_929665257122448,"How unprofessional! My partner has just tried phoning M&S bank to sort something out, and when he got through he actually ended up being put into someone elses conversation as he had been put through to that call. During which time he heard the persons surname and their full card number. Not good that a big company has a great confidentiality policy in place. And not a good 1st impression when my partner has just become a customer with you. Think we are going to have to go elsewhere with our money",2015-11-12 08:42:26
457376154351363_929447830477524,"If MandS Card Safe Scheme does not go live until 18th November then how are we suppose to buy or pay for items on line utilising our MandS Bank Credit card - because at the moment was told by Customer Service ""tough"" use another card - Great Customer service !!!!",2015-11-11 18:04:34
457376154351363_929440593811581,"i find it somewhat ironic that I get an email telling me how wonderful a M&S credit card is in the run up to Christmas, when it has taken around two months for you to approve my application for a bank account with you.",2015-11-11 17:25:51
457376154351363_929394140482893,"The best for service, quality and style.",2015-11-11 14:15:39
457376154351363_929311437157830,Every time you use your M&S Credit Card you could win back your festive spending: http://bddy.me/1OEfu8p,2015-11-11 10:05:37
457376154351363_929241627164811,A quick question. Is every new customer guaranteed to get the £500 overdraft?,2015-11-11 05:52:41
457376154351363_928825437206430,i seem to be unable to log on to internet banking -24 hours now is there an issue ?,2015-11-10 04:36:06
457376154351363_928590143896626,"M&S Bank your customer service is as frustrating as it hopeless. For the last 30 minutes I have been trapped in your automated phone system, your online service is telling me it is down and Hannah is telling me she does not understand my query.",2015-11-09 13:42:01
457376154351363_928439253911715,"Entertain in style, without the cost of a lavish dinner party. Invite friends over for a leisurely brunch instead.",2015-11-09 06:30:06
457376154351363_928136963941944,Does M&S Bank have any plans to introduce an Android app to allow customers to view their credit card balance and transactions? - most of the other credit card companies provide one and they are very useful,2015-11-08 13:13:52
457376154351363_927999400622367,We’re taking a moment to remember the sacrifice made by all our servicemen and women. Wear your poppy with pride.,2015-11-08 05:00:05
457376154351363_927704520651855,"A change of ambition can affect all aspects of life!  An opportunity came my way to attend a ""singing course"" - I grabbed the opportunity - attended the 6 week course - made new friends, found my love of harmony singing which stirred my ambition and along with other new members, we attended the Sweet Adeline Inc, annual convention in LAS VEGAS!  We sang on the stage with Lace City Chorus from Nottingham England.  Wow what an incredible experience, singing with friends, meeting new people, visiting a new part of the world - just because I wanted to sing!!  ""sing""cerely Pat T",2015-11-07 09:29:23
457376154351363_927328227356151,"We have temporarily extended our currency refund on egyptian pounds to all holidaymakers who are unable to travel to Sharm el-Sheikh following advice from the UK Foreign and Commonwealth Office; travellers don’t need to have purchased their currency from us. Holidaymakers can exchange their currency for the full amount of sterling originally paid for the currency at any of our 125 travel money bureaux, which are located in M&S stores.  
Customers who purchased their travel money elsewhere can exchange their currency up to the value of £500 and must be able to provide proof of purchases made prior to 6.11.15.",2015-11-07 05:00:35
457376154351363_927566383999002,You have lost $5000 of mine and tell me no-one can call me back for 48 hrs to look into it. Shoddy terrible service. No doubt you will launch an investigation that will take an age. If that money does not turn up I will be suing you for my additional expenses accrued with it. This will go viral.,2015-11-07 03:48:53
457376154351363_927196030702704,Six days before someone is able to return my phone call??  And this from something that has been going on since October 2 and which M&S have admitted is their fault.  Not the best customer service really :-(,2015-11-06 04:56:18
457376154351363_926535340768773,"Hi, 

I have been trying to enrol my credit card on your online banking for the last week and a half with no success. I keep getting a message saying to contact customer service however when I do (both on the phone and in-store) I am directed back to the website. I emailed about this two nights ago and was assured that I would receive a reply within 48 hours and have not. Without access to online banking, I run the risk of missing a payment as I am often away from home due to work. I am in essence asking to pay off my credit and have received no assistance both through the phone, online and in-store. I think you will agree with me that this is a problem that requires rectifying ASAP to our mutual benefit. 

Thanks, 
Alistair",2015-11-04 16:07:14
457376154351363_926483590773948,Buying seasonal produce is good for you - and your purse. What's your secret to the perfect roast parsnip?,2015-11-04 13:30:09
457376154351363_926399330782374,"M&S Bank, I am just in the process of switching to you as I had enough of the poor service from halifax. After spending an hour in the branch at westfield, I've now been called and had to spend 15 mins going through the exact same things about the switch service, and will have to wait until this is all posted to me and I can return my approval. Not the best start. Also pressing option 2 on your phone line took me through to credit cards so I had to wait to be re-transferred. Please, don't make me regret switching. I would just like a bank that works. 

(you have also left a customers personal details including passwords in a previous comment on your page. It's not relating to a bank account, but you should remove it for the customers sake).",2015-11-04 08:45:11
457376154351363_926387287450245,Just phoned M&S Insurance. Robotic staff. Nobody could give me a reason for the increase. PLEASE NOTE EVERYONE. DO NOT GET CAR INSURANCE FROM M&S.,2015-11-04 08:06:23
457376154351363_926172377471736,"M&S Bank - will you reply or will you ignore?? 

I am disgusted that after M&S Bank customer services promised my elderly mother gift vouchers as part of a credit card offer that these have not been received. She has now called and emailed CS three times and although she receives a generic acknowledgment she has received no vouchers and no call back!

Is this how M&S Bank treat their elderly, loyal customers? Do M&S Bank make a habit of reneging on contractual terms (vouchers when credit card taken out)?

I await a response seeing as my mother hasn't had the courtesy of one, failing which I shall refer this matter to the financial ombudsman.",2015-11-03 16:14:58
457376154351363_925598740862433,"I have M&S credit card, and was fairly happy with it until last week, when my statement showed an interest of almost £14 charged on about £4 owed. The overall bill was over £534, but as I did not remember exact amount, I paid £530 off, on time, leaving about £4 unpaid. To my surprise, an interest of £13.91 was added on my latest statment! When I rang customer services, it was explained to me that interest is charged on the full amount on last statement (£534 in my case), not the actual amount owed! Reading through Citizen's Advise Bereau, your own Terms and Conditions online, I cannot see how this is even possible and justifiable!
Even though I have been advised that M&S will discretionally refund me the £13.91 this one time as ""a gesture of good will"", as I always pay in full and on time, I am very disappointed that M&S is even trying to charge people amounts that would not be deemed reasonable in English Court of Law and expect customers to ""spot"" charges like this and chase refunds. Very disappointing! Certainly, the refund is far from a gesture a good will, rather a basic decency to rectify a major error!

In addition, I wanted to submit a complaint via M&S bank website, however, having typed the same message into Question field, your enquire form doe not allow me to submit it, listing my question field ""contains invalid characters"".",2015-11-02 07:35:08
457376154351363_925578394197801,"Said they would contact me. Didn't happen. Phoned today. No explanation as to why they are ripping me off with an increase in insurance price. Don't get insurance from them. They will certainly rip you off. M&S, a one great company. Now just out to fleece people.",2015-11-02 06:05:59
457376154351363_925117207577253,Don't get car insurance from M&S. They will rip you off when you come to renew.,2015-11-01 05:45:05
457376154351363_923588701063437,Carving a pumpkin for Halloween? Turn the seeds into a deliciously autumnal snack with our recipe.,2015-10-29 12:00:00
457376154351363_923713494384291,"I have sent you a private message but you have not answered so I will put it in the public domain!!
The problems you reported with your website and it sharing other consumers information you have said is now fixed.
My mother has tried to use your banking site to pay her M & S card but the security sign is not showing and therefore the site is not protected.
Please can you investigate if this is a security problem you are aware of!
This is not an ordinary problem, this is a Marks and Spencer's problem!!
Please advise as when she rang banking customer services they cut her off!!!!",2015-10-28 16:31:43
457376154351363_923680334387607,I have been talking with your colleagues regarding my reward vouchers that were never received . They have confirmed they were sent in August but I never received them . They provided this link for you to chase up for me ; regards : Mrs J Young,2015-10-28 15:52:06
457376154351363_923581651064142,Tis the season to curl up in front of the hearth with a hot drink and your book.,2015-10-28 12:45:00
457376154351363_923614784394162,"I would like to give a big THANK YOU to Sandra Dutton and Debbie Ellis for the AMAZING service they recently provided.  They were both extremely helpful and knowledgeable while dealing with my request, nothing was too much trouble. I am new  to the area and have had to make many phone calls to various establishments (Some were an experience!) I had reason to call M&S bank on two separate occasions and they were an absolute pleasure to deal with, so just wanted to say that these two ladies were fantastic and  are a credit to your company.  ..",2015-10-28 11:59:09
457376154351363_923268267762147,"M&S you have a serious security issue which is being mentioned on the other M&S Facebook page. I can currently see another customers order, address and credit card details and I'm not the only one who can see other customers personal information. Fortunately I'm an honest person but these details could be used to my advantage and the customer should be informed asap.",2015-10-27 14:19:11
457376154351363_922778144477826,"Lighten up dark nights with a candle (or two), and try our tip to keep them burning for longer. How do you stay cosy?",2015-10-26 14:32:01
457376154351363_922777841144523,,2015-10-26 11:26:05
457376154351363_922715834484057,I Like M&S Back as there always  there to help & sort things out! Nice staff great Bank to deal with,2015-10-26 08:10:58
457376154351363_921447054610935,Thank you for contacting me so promptly and sorting out my query.       Well done M&S Bank,2015-10-23 10:55:54
457376154351363_921403051282002,"Have been trying to cancel my credit card account that I haven't used for years. Was told that my card safe account is still active so was put through to M&S cardsafe. They can't find me on their system, I'm going round in circles, please can you help.",2015-10-23 09:01:31
457376154351363_921386354617005,I have been holding on your home insurance claims line for over 30 mins and still no one has answered my call.  How do I get to speak to someone??  Is this usual customer service standards?,2015-10-23 08:18:28
457376154351363_921372877951686,"I have been without a credit card since October 2 and I've just been told that it will be at least another TWO weeks before I will receive another one because of something that went wrong with my account -- something, I should add, that M&S have taken responsibility for.  There is NO senior manager who is willing to talk to me on the phone as they are all too busy with other things.  
I've been a loyal customer of M&S, mainly because of the reputation for customer service.  I have my bank account with you as well as my energy and credit card.  I will, however, now be making arrangements to move everythign to other providers.  It is absolutely unacceptable that you have let down one of your customers so badly.  I keep getting phone calls that are full of apologies but no-one can actually DO anything.  

And for the worry and stress, I have been offered £15 in gift vouchers.  If that's what you think about one of your customers when you admit that you were at fault, it tells me that I should be taking my business elsewhere.",2015-10-23 08:00:26
457376154351363_921046451317662,"Both my mum and myself received excellent service today from Wendy Liveseys team in Handforth M and S Bank.  We walked away with a new bank account each, a new credit card each, a savings account, discount shopping vouchers to use in store today and a new Sparks card each,  all delivered with professionalism and a smile from Deputy Manager, Reuben.  Nothing was too much trouble, customer service at it's best",2015-10-22 13:53:04
457376154351363_920836584671982,"I have to say I've been really impressed with your service, after complaining yesterday on here about my letter over the 1p 'debt' that the website wouldn't let me pay, I had a very lovely lady call me soon afterwards who was sympathetic and polite. On the back of her phone call I've decided to give the card another try and contacted you this morning re. another matter, all emails have been answered very promptly and everything just sorted, hassle free. Great customer service, thank you :)",2015-10-22 03:45:37
457376154351363_920554694700171,"I'm actually really cross that I've just received a Statutory Arrears Notice from you... for 1p.  The reason btw that I owe you 1p is because on the occasion that I used my card (which I didn't really want but was talked into getting to save 20%), I tried to pay it off immediately, but your website wouldn't accept the odd penny.

I did actually use the card again earlier this week but paid it off straight away at the till instore and included the penny. I won't be using it again.

Your appalled ex-customer.",2015-10-21 09:23:37
457376154351363_920220004733640,Is your web page down? Been trying to access it this afternoon with no success.,2015-10-20 13:42:43
457376154351363_919740364781604,"I have had my car insurance with M&S for the last two years, my wifes insurance is up for renewal today and persuaded her to use M&S. She is a M&S credit card holder and according to your website was entitled to up to 20% discount.  I wish I hadn't recommended this switch.  My wife, has swapped over but only after a very frustrating 20 minutes on the phone during which the customer service couldn't even tell my wife how much the final premium was going to be, or how much discount she would get. (she had come via a comparison site so had a rough idea where it should be) until she received her policy.  Disgusting service.  My wife received the policy, the price £20 more than she thought and yes you guessed it no discount.  from your website ""M&S Cardholders could save up to 20% when taking out a new policy and when renewing existing cover*""",2015-10-19 14:06:53
457376154351363_919732068115767,"Hello there!
I have received the Sparks card and I would like to register it but seems that the website is not working. I have tried from different devices but nothing.
May I have the link?

Thank you",2015-10-19 13:44:52
457376154351363_919623764793264,Going meat-free once a week will do wonders for your food bill. Fancy a bite of mushroom en croûte?,2015-10-19 12:00:01
457376154351363_918750784880562,"I've just being on to your customer service to request the information you say I'm ""legally entitled to see"", having being refused for a credit card. I have been advised that there is actually nothing that can be sent only the letter I've already received to advise ive been refused. I hold a high score with the credit agency you say was consulted for a decision, in your letter. I am so frustrated right now. I know it wasnt the fault of the person I was speaking to so apologies to him for getting so angry but I really need to understand the circumstances and the reason behind it. 
Your immediate assistance would be greatly appreciated.",2015-10-17 06:25:37
457376154351363_918732224882418,Big ''Thank You'' to staff at Culverhouse Cross branch for sorting out a security problem late Friday evening. You're the best. Mal.,2015-10-17 04:57:48
457376154351363_918397338249240,"I have just gone through your website to get a car insurance quote.  Your website states that cardholders can get up to a 20% discount and that 32% qualify for this.
There is no indication of any discount being applied after going through the quote process, so I telephoned to enquire how this can be added on. I was told there is no way to find out if a discount has been applied, and that the only way of seeing if there is one is to get a quote for your ploicy through a different supplier and work out the difference.  
It was admitted to me that all this would show is that the likes of comparethemarket would have different prices, not that any discount had been applied.
I am quite shocked that M&S can offer a cardholder discount, but have a system so opaque it is impossible to find out if you have received a discount or not.
Shame on you, it is behaviour like this that tarnishes your brand and diminishes customer loyalty.",2015-10-16 05:45:58
457376154351363_918133791608928,"Hi,
I received my new credit card with a 500 points earned voucher. Unfortunately h
I have been in hospital and only just registered my card. The date of my voucher expired 11th October when I was in hospital.
What can I do please???",2015-10-15 11:31:06
457376154351363_918047064950934,Sparks registration site down on day 1?,2015-10-15 07:03:37
457376154351363_917701548318819,Does anyone in M&S bank know what the opening hours will be in the branches over Christmas and New Year?,2015-10-14 10:00:15
457376154351363_917554961666811,"This must be the sign I have been waiting for, I've been thinking of switching for some time now and I had considered M&S. I have been deliberating for months but now I'm going to make the switch. To add to that I made an even bigger switch two years ago, I was made redundant after working local government for 40 years, I am now a consultant for Temple Spa facial and body therapy products two jobs worlds apart but loving my new job immensely.",2015-10-14 00:46:09
457376154351363_917234931698814,I have been an Accountant for 25 years. Studied at Nottingham Trent University and followed the usual Critical Paths of same old same old. Long hours chasing that elusive rainbow. On Christmas Eve 2010 - nearly five years ago I said enough is enough. I had been travelling from Nottingham to Northampton for nearly ten years up to this point. So that was that. Now what shall I do ? My life changed from all that pressure and pain to brilliant flexible weeks and non-standard different types of work. I work in property now as a freelance property facilitator - I am a non-exec Director of a fantastic charity based housing association and I work in the courts of Nottingham passing on my experiences and judgement on a weekly basis. I am very busy but also very very happy.,2015-10-13 04:46:04
457376154351363_917221178366856,"Thank you for your interest, it gave me a big smile, at 81 I think I have missed the boat on a career change, however it made me pull may shoulders back and tummy in and step out a little livelier.",2015-10-13 03:59:34
457376154351363_916967721725535,If I have an account with yourself can I open a seperate joint account with my partner to pay bills out of ?,2015-10-12 12:44:53
457376154351363_916916898397284,To encourage other over-60s - never too old to start something new and stretch the brain;  Have started to learn the cello at age 65.,2015-10-12 10:08:03
